HOSTNAME,JOIN,PHASE,PARTITION_COUNT,RUN_ID,RUNTIME_MS
nx05,HashJoin,"2 - HashTableFinalization",512,4,12837
nx05,HashJoin,"3 - ProbeSidePartitioning",512,4,1750
nx05,HashJoin,"4 - Joining",512,4,3083
nx05,HashJoin,"1 - HashTableBuild",512,5,4428
nx05,HashJoin,"2 - HashTableFinalization",512,5,12839
nx05,HashJoin,"3 - ProbeSidePartitioning",512,5,1747
nx05,HashJoin,"4 - Joining",512,5,3073
nx05,HashJoin,"1 - HashTableBuild",512,6,4469
nx05,HashJoin,"2 - HashTableFinalization",512,6,12860
nx05,HashJoin,"3 - ProbeSidePartitioning",512,6,1752
nx05,HashJoin,"4 - Joining",512,6,3078
nx05,HashJoin,"1 - HashTableBuild",512,7,4437
nx05,HashJoin,"2 - HashTableFinalization",512,7,12854
nx05,HashJoin,"3 - ProbeSidePartitioning",512,7,1750
nx05,HashJoin,"4 - Joining",512,7,3088
nx05,HashJoin,"1 - HashTableBuild",512,8,4444
nx05,HashJoin,"2 - HashTableFinalization",512,8,12843
nx05,HashJoin,"3 - ProbeSidePartitioning",512,8,1750
nx05,HashJoin,"4 - Joining",512,8,3101
nx05,HashJoin,"1 - HashTableBuild",512,9,4438
nx05,HashJoin,"2 - HashTableFinalization",512,9,12852
nx05,HashJoin,"3 - ProbeSidePartitioning",512,9,1750
nx05,HashJoin,"4 - Joining",512,9,3047
nx05,HashJoin,"1 - HashTableBuild",1024,0,4449
nx05,HashJoin,"2 - HashTableFinalization",1024,0,12862
nx05,HashJoin,"3 - ProbeSidePartitioning",1024,0,1867
nx05,HashJoin,"4 - Joining",1024,0,3052
nx05,HashJoin,"1 - HashTableBuild",1024,1,4450
nx05,HashJoin,"2 - HashTableFinalization",1024,1,12873
nx05,HashJoin,"3 - ProbeSidePartitioning",1024,1,1865
nx05,HashJoin,"4 - Joining",1024,1,2974
nx05,HashJoin,"1 - HashTableBuild",1024,2,4436
nx05,HashJoin,"2 - HashTableFinalization",1024,2,12862
nx05,HashJoin,"3 - ProbeSidePartitioning",1024,2,1860
nx05,HashJoin,"4 - Joining",1024,2,3062
nx05,HashJoin,"1 - HashTableBuild",1024,3,4062
nx05,HashJoin,"2 - HashTableFinalization",1024,3,12866
nx05,HashJoin,"3 - ProbeSidePartitioning",1024,3,1874
nx05,HashJoin,"4 - Joining",1024,3,2989
nx05,HashJoin,"1 - HashTableBuild",1024,4,4416
nx05,HashJoin,"2 - HashTableFinalization",1024,4,12853
nx05,HashJoin,"3 - ProbeSidePartitioning",1024,4,1902
